# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_68  M3V      2.66   1.44   1.16   2.47   3.71   4.60
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      7524.67      4527.98
      7536.48      4526.73
      7548.29      4539.01
      7560.10      4534.92
      7571.91      4397.06
      7583.72      4228.90
      7595.53      4050.77
      7607.34      4197.51
      7619.15      4499.99
      7630.96      4375.38
      7642.77      4170.49
      7654.58      4005.30
      7666.39      3788.98
      7678.20      3550.48
      7690.01      3579.77
      7701.82      3691.11
      7713.63      3807.24
      7725.44      3881.42
      7737.25      3904.25
      7749.06      3886.34
      7760.88      3869.46
      7772.69      3928.42
      7784.49      4002.62
      7796.31      4085.30
      7808.12      4146.86
      7819.93      4190.48
      7831.74      4191.06
      7843.55      4223.81
      7855.36      4334.74
      7867.17      4383.62
      7878.98      4393.63
      7890.79      4449.00
      7902.60      4499.61
      7914.41      4509.71
      7926.22      4581.66
      7938.03      4708.27
      7949.84      4782.61
      7961.65      4840.98
      7973.46      4898.89
      7985.27      4940.35
      7997.08      4963.12
      8008.89      5025.83
      8020.70      5098.27
      8032.51      5141.22
      8044.32      5198.87
      8056.13      5284.76
      8067.94      5314.91
      8079.75      5312.40
      8091.56      5301.35
      8103.37      5313.75
      8115.18      5379.96
      8126.99      5414.46
      8138.80      5415.16
      8150.61      5334.49
      8162.42      5247.17
      8174.23      5199.45
      8186.04      5186.78
      8197.85      5205.14
      8209.66      5218.12
      8221.47      5263.76
      8233.28      5431.01
      8245.10      5558.96
      8256.90      5614.65
      8268.71      5542.06
      8280.52      5426.15
      8292.34      5374.00
      8304.15      5354.83
      8315.96      5373.36
      8327.76      5350.86
      8339.58      5305.49
      8351.39      5274.56
      8363.20      5276.12
      8375.01      5342.94
      8386.82      5400.38
      8398.63      5444.73
      8410.44      5460.73
      8422.25      5437.72
      8434.06      5321.64
      8445.87      5227.06
      8457.68      5163.06
      8469.49      5126.35
      8481.30      5100.45
      8493.11      5079.85
      8504.92      5085.59
      8516.73      5125.08
      8528.54      5177.90
      8540.35      5232.71
      8552.16      5274.04
      8563.97      5345.88
      8575.78      5473.96
      8587.59      5466.26
      8599.40      5391.63
      8611.21      5430.83
      8623.02      5504.91
      8634.83      5599.37
      8646.64      5552.17
      8658.45      5407.48
      8670.26      5432.69
      8682.07      5488.53
      8693.88      5491.96
      8705.69      5565.38
      8717.50      5710.31
      8729.31      5721.65
      8741.12      5680.74
      8752.93      5633.16
      8764.74      5649.67
      8776.55      5755.05
      8788.37      5801.35
      8800.18      5818.30
      8811.99      5841.61
      8823.80      5851.45
      8835.61      5835.37
      8847.42      5817.47
      8859.23      5793.67
      8871.04      5742.76
      8882.85      5718.64
      8894.66      5775.84
      8906.47      5700.60
      8918.28      5526.25
      8930.09      5543.35
      8941.90      5594.41
      8953.71      5576.80
      8965.52      5618.07
      8977.33      5726.19
      8989.14      5701.91
      9000.95      5670.25
      9012.76      5823.07
      9024.57      6014.38
      9036.38      6222.27
      9048.19      6217.10
      9060.00      6112.31
      9071.81      6063.64
      9083.62      6062.64
      9095.43      6136.25
      9107.24      6175.00
      9119.05      6177.89
      9130.86      6098.43
      9142.67      6052.55
      9154.48      6138.60
      9166.29      6234.67
      9178.10      6330.18
      9189.91      6392.95
      9201.72      6422.81
      9213.53      6370.90
      9225.34      6305.66
      9237.15      6231.68
      9248.96      6134.62
      9260.78      6004.74
      9272.58      5765.98
      9284.40      5527.82
      9296.21      5316.52
      9308.02      5233.82
      9319.83      5240.45
      9331.64      5367.50
      9343.45      5467.14
      9355.26      5466.78
      9367.07      5535.16
      9378.88      5668.15
      9390.69      5916.00
      9402.50      6013.56
      9414.31      5632.91
      9426.12      5415.60
      9437.93      5401.74
      9449.74      5644.51
      9461.55      5879.44
      9473.36      5788.24
      9485.17      5733.87
      9496.98      5767.57
      9508.79      5826.62
      9520.60      5872.09
      9532.41      5806.13
      9544.22      5823.30
      9556.03      6002.12
      9567.84      6107.61
      9579.65      6145.21
      9591.46      6029.42
      9603.27      5966.84
      9615.08      6084.69
