# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_7  B3V     -0.88  -0.21  -0.07  -0.15  -0.48  -0.61
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      5681.49      930.249
      5694.04      931.210
      5706.58      918.467
      5719.13      918.316
      5731.68      917.901
      5744.23      902.479
      5756.77      902.212
      5769.32      897.036
      5781.87      890.359
      5794.41      886.429
      5806.96      884.633
      5819.51      883.506
      5832.06      875.834
      5844.60      868.122
      5857.15      861.981
      5869.70      848.586
      5882.25      837.049
      5894.79      839.734
      5907.34      840.889
      5919.89      839.513
      5932.44      834.652
      5944.98      829.449
      5957.53      824.622
      5970.08      819.583
      5982.62      814.868
      5995.17      811.354
      6007.72      808.804
      6020.27      805.270
      6032.81      793.254
      6045.36      786.235
      6057.91      787.553
      6070.45      789.995
      6083.00      792.231
      6095.55      793.127
      6108.10      791.580
      6120.64      786.583
      6133.19      771.646
      6145.74      761.051
      6158.29      756.472
      6170.83      746.712
      6183.38      739.322
      6195.93      740.615
      6208.47      740.063
      6221.02      737.122
      6233.57      729.138
      6246.12      721.263
      6258.66      714.429
      6271.21      710.634
      6283.76      709.681
      6296.30      712.508
      6308.85      706.833
      6321.40      698.674
      6333.95      697.525
      6346.49      695.129
      6359.04      691.187
      6371.59      689.635
      6384.14      688.347
      6396.68      686.661
      6409.23      683.806
      6421.78      680.846
      6434.32      679.057
      6446.87      674.541
      6459.42      667.966
      6471.97      663.519
      6484.51      659.051
      6497.06      653.687
      6509.61      645.756
      6522.16      633.569
      6534.70      611.595
      6547.25      592.693
      6559.80      581.784
      6572.34      600.694
      6584.89      620.278
      6597.44      631.801
      6609.99      634.335
      6622.53      633.546
      6635.08      632.498
      6647.63      625.067
      6660.18      614.300
      6672.72      609.309
      6685.27      607.012
      6697.82      606.892
      6710.36      606.449
      6722.91      605.576
      6735.46      604.097
      6748.01      603.540
      6760.55      603.144
      6773.10      600.531
      6785.65      599.648
      6798.20      601.432
      6810.74      604.758
      6823.29      611.574
      6835.84      624.193
      6848.38      610.229
      6860.93      583.656
      6873.48      567.641
      6886.03      563.987
      6898.57      571.953
      6911.12      578.231
      6923.67      579.409
      6936.21      571.163
      6948.76      566.584
      6961.31      563.492
      6973.86      558.318
      6986.40      552.772
      6998.95      547.900
      7011.50      549.697
      7024.05      549.287
      7036.59      542.164
      7049.14      538.840
      7061.69      537.118
      7074.23      534.389
      7086.78      532.570
      7099.33      531.602
      7111.88      530.124
      7124.42      526.833
      7136.97      521.017
      7149.52      519.531
      7162.07      518.760
      7174.61      514.834
      7187.16      512.549
      7199.71      511.445
      7212.25      508.246
      7224.80      502.321
      7237.35      493.186
      7249.90      488.569
      7262.44      487.159
      7274.99      489.748
      7287.54      491.883
      7300.09      493.030
      7312.63      491.865
      7325.18      489.546
      7337.73      486.289
      7350.27      484.081
      7362.82      482.957
      7375.37      483.664
      7387.92      481.049
      7400.46      476.842
      7413.01      475.256
      7425.56      473.239
      7438.11      470.322
      7450.65      468.053
      7463.20      465.755
      7475.75      462.759
      7488.29      459.093
      7500.84      457.476
      7513.39      466.584
      7525.94      476.470
      7538.48      485.376
      7551.03      492.032
      7563.58      490.074
      7576.12      470.824
      7588.67      431.252
      7601.22      398.026
      7613.77      429.651
      7626.31      446.481
      7638.86      441.467
      7651.41      441.525
      7663.96      432.822
      7676.50      406.454
      7689.05      407.312
      7701.60      418.918
      7714.15      422.048
      7726.69      423.339
      7739.24      423.834
      7751.79      424.133
      7764.33      422.118
      7776.88      416.491
      7789.43      413.997
      7801.98      413.404
      7814.52      414.445
      7827.07      413.274
      7839.62      410.547
      7852.16      410.017
      7864.71      408.753
      7877.26      405.699
      7889.81      403.119
      7902.35      401.648
      7914.90      402.796
      7927.45      401.788
      7939.99      399.170
      7952.54      396.986
      7965.09      396.597
      7977.64      398.564
      7990.18      400.599
      8002.73      401.159
      8015.28      398.053
      8027.83      397.616
      8040.37      399.221
      8052.92      401.217
      8065.47      401.310
      8078.02      398.689
      8090.56      393.634
      8103.11      389.696
      8115.66      390.210
      8128.20      390.313
      8140.75      389.248
      8153.30      384.833
      8165.85      383.534
      8178.39      385.931
      8190.94      385.616
      8203.49      383.742
      8216.03      380.364
      8228.58      380.767
      8241.13      383.040
      8253.68      384.385
      8266.22      379.497
      8278.77      369.153
      8291.32      364.558
      8303.86      364.699
      8316.41      370.265
      8328.96      361.292
      8341.51      348.733
      8354.05      349.004
      8366.60      354.453
      8379.15      361.735
      8391.70      357.722
      8404.24      352.993
      8416.79      351.702
      8429.34      352.100
      8441.88      352.109
      8454.43      348.674
      8466.98      344.925
      8479.53      342.040
      8492.07      344.359
      8504.62      345.365
      8517.17      343.130
      8529.72      347.092
      8542.26      348.867
      8554.81      337.229
      8567.36      334.480
      8579.90      338.951
      8592.45      341.618
      8605.00      344.666
      8617.55      348.163
      8630.09      344.976
      8642.64      337.992
      8655.19      327.521
      8667.73      327.194
      8680.28      334.714
      8692.83      346.874
      8705.38      350.593
      8717.92      342.363
      8730.47      331.762
      8743.02      323.387
      8755.57      322.205
      8768.11      324.952
      8780.66      330.998
      8793.21      342.423
      8805.76      344.749
      8818.30      334.986
      8830.85      319.755
      8843.40      307.705
      8855.94      305.974
      8868.49      309.710
      8881.04      316.168
      8893.59      322.365
      8906.13      329.232
      8918.68      335.644
      8931.23      331.817
      8943.78      326.822
      8956.32      324.591
      8968.87      316.183
      8981.42      302.714
      8993.96      282.775
      9006.51      280.129
      9019.06      294.905
      9031.61      314.433
      9044.15      322.898
      9056.70      310.490
      9069.25      302.535
      9081.80      299.748
      9094.34      306.010
      9106.89      307.834
      9119.44      304.249
      9131.98      295.231
      9144.53      288.969
      9157.08      289.365
      9169.63      297.466
      9182.17      305.003
      9194.72      301.545
      9207.27      289.649
      9219.81      275.101
      9232.36      277.604
      9244.91      284.348
      9257.46      292.902
      9270.00      308.688
      9282.55      318.055
      9295.10      303.198
      9307.65      289.119
      9320.19      282.069
      9332.74      300.818
      9345.29      303.146
      9357.83      280.941
      9370.38      286.867
      9382.93      303.645
      9395.48      322.256
      9408.02      310.303
      9420.57      282.442
      9433.12      269.264
      9445.66      268.562
      9458.21      279.841
      9470.76      290.588
      9483.31      294.166
      9495.85      282.655
      9508.40      274.340
      9520.95      268.873
      9533.50      265.927
      9546.04      269.492
      9558.59      278.820
      9571.14      280.382
      9583.69      279.598
      9596.23      278.310
      9608.78      274.861
      9621.33      271.236
      9633.87      270.940
      9646.42      271.842
      9658.97      272.666
      9671.52      268.215
      9684.06      264.049
      9696.61      263.052
      9709.16      266.104
      9721.71      269.725
      9734.25      269.024
      9746.80      265.690
      9759.35      261.633
      9771.89      264.454
      9784.44      267.015
      9796.99      266.344
      9809.53      261.406
      9822.08      257.225
      9834.63      260.345
      9847.18      258.771
      9859.72      253.875
      9872.27      254.726
      9884.82      255.988
      9897.37      255.892
      9909.91      252.309
      9922.46      250.136
      9935.01      255.290
      9947.55      254.595
      9960.10      250.307
      9972.65      251.305
      9985.20      252.821
      9997.74      252.922
      10010.3      244.583
      10022.8      232.636
      10035.4      219.569
      10047.9      217.476
      10060.5      224.180
      10073.0      238.062
      10085.6      243.531
      10098.1      238.160
      10110.7      240.264
      10123.2      241.729
      10135.8      236.527
      10148.3      234.459
      10160.9      233.918
      10173.4      230.895
      10186.0      229.501
      10198.5      229.818
      10211.0      226.807
      10223.6      226.518
      10236.1      233.441
      10248.7      235.861
      10261.2      235.214
      10273.8      232.581
      10286.3      228.559
      10298.9      224.009
      10311.4      224.022
      10324.0      225.784
      10336.5      228.217
      10349.1      226.898
      10361.6      224.281
      10374.2      223.573
      10386.7      224.739
      10399.3      226.563
      10411.8      223.216
      10424.4      221.670
      10436.9      224.639
      10449.4      222.851
      10462.0      220.342
      10474.5      222.311
      10487.1      223.009
      10499.6      221.833
      10512.2      217.794
      10524.7      214.853
      10537.3      214.816
      10549.8      217.962
      10562.4      221.474
      10574.9      222.572
      10587.5      220.457
      10600.0      216.724
      10612.6      215.538
      10625.1      214.844
      10637.7      214.183
      10650.2      213.504
      10662.7      212.808
      10675.3      212.142
      10687.8      211.445
      10700.4      210.778
      10712.9      210.076
      10725.5      209.422
      10738.0      208.720
      10750.6      208.039
      10763.1      207.364
      10775.7      206.686
      10788.2      206.016
      10800.8      205.294
      10813.3      204.535
      10825.9      203.733
      10838.4      202.949
      10851.0      202.160
      10863.5      201.380
      10876.1      200.580
      10888.6      199.803
      10901.1      199.012
      10913.7      198.232
      10926.2      197.433
      10938.8      196.653
      10951.3      195.852
      10963.9      195.071
      10976.4      194.283
      10989.0      193.497
      11001.5      192.705
      11014.1      191.861
      11026.6      191.038
      11039.2      190.203
      11051.7      189.356
      11064.3      188.542
      11076.8      187.689
      11089.4      186.865
      11101.9      186.035
      11114.4      185.187
      11127.0      184.365
      11139.5      183.521
      11152.1      182.697
      11164.6      181.861
      11177.2      181.016
      11189.7      180.197
      11202.3      179.362
      11214.8      178.518
      11227.4      177.695
      11239.9      176.859
      11252.5      176.027
      11265.0      175.204
      11277.6      174.371
      11290.1      173.523
      11302.7      172.710
      11315.2      171.871
      11327.8      171.039
      11340.3      170.202
      11352.8      169.381
      11365.4      168.549
      11377.9      167.712
      11390.5      166.880
      11403.0      166.057
      11415.6      165.263
      11428.1      164.487
      11440.7      163.684
      11453.2      162.897
      11465.8      162.103
      11478.3      161.305
      11490.9      160.520
      11503.4      159.725
      11516.0      158.946
      11528.5      158.140
      11541.1      157.358
      11553.6      156.555
      11566.1      155.777
      11578.7      154.982
      11591.2      154.187
      11603.8      153.429
      11616.3      152.693
      11628.9      151.968
      11641.4      151.256
      11654.0      150.525
      11666.5      149.812
      11679.1      149.082
      11691.6      148.359
      11704.2      147.633
      11716.7      146.907
      11729.3      146.190
      11741.8      145.471
      11754.4      144.743
      11766.9      144.022
      11779.5      143.296
      11792.0      142.581
      11804.5      141.882
      11817.1      141.259
      11829.6      140.612
      11842.2      139.981
      11854.7      139.339
      11867.3      138.714
      11879.8      138.080
      11892.4      137.436
      11904.9      136.806
      11917.5      136.167
      11930.0      135.535
      11942.6      134.904
      11955.1      134.264
      11967.7      133.631
      11980.2      132.993
      11992.8      132.359
      12005.3      131.765
      12017.9      131.241
      12030.4      130.695
      12042.9      130.164
      12055.5      129.628
      12068.0      129.098
      12080.6      128.560
      12093.1      128.025
      12105.7      127.491
      12118.2      126.951
      12130.8      126.425
      12143.3      125.887
      12155.9      125.349
      12168.4      124.824
      12181.0      124.279
      12193.5      123.755
      12206.1      123.265
      12218.6      122.838
      12231.2      122.417
      12243.7      121.994
      12256.2      121.569
      12268.8      121.143
      12281.3      120.717
      12293.9      120.293
      12306.4      119.866
      12319.0      119.445
      12331.5      119.016
      12344.1      118.594
      12356.6      118.166
      12369.2      117.747
      12381.7      117.317
      12394.3      116.892
      12406.8      116.538
      12419.4      116.225
      12431.9      115.917
      12444.5      115.614
      12457.0      115.307
      12469.6      115.001
      12482.1      114.696
      12494.6      114.386
      12507.2      114.080
      12519.7      113.777
      12532.3      113.472
      12544.8      113.159
      12557.4      112.854
      12569.9      112.551
      12582.5      112.243
      12595.0      111.945
      12607.6      111.639
      12620.1      111.373
      12632.7      111.080
      12645.2      110.802
      12657.8      110.530
      12670.3      110.242
      12682.9      109.956
      12695.4      109.685
      12708.0      109.401
      12720.5      109.116
      12733.0      108.841
      12745.6      108.563
      12758.1      108.280
      12770.7      107.993
      12783.2      107.719
      12795.8      107.436
      12808.3      107.169
      12820.9      106.894
      12833.4      106.636
      12846.0      106.367
      12858.5      106.102
      12871.1      105.835
      12883.6      105.574
      12896.2      105.304
      12908.7      105.031
      12921.3      104.775
      12933.8      104.503
      12946.3      104.246
      12958.9      103.971
      12971.4      103.711
      12984.0      103.440
      12996.5      103.180
      13009.1      102.918
      13021.6      102.669
      13034.2      102.418
