# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_1  O5      -1.42  -0.34  -0.14  -0.29  -0.76  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      6522.16      611.162
      6534.70      602.559
      6547.25      590.829
      6559.80      580.376
      6572.34      588.596
      6584.89      599.634
      6597.44      609.027
      6609.99      612.005
      6622.53      610.736
      6635.08      604.240
      6647.63      595.784
      6660.18      586.088
      6672.72      575.855
      6685.27      572.204
      6697.82      577.169
      6710.36      581.148
      6722.91      582.040
      6735.46      576.227
      6748.01      568.589
      6760.55      560.567
      6773.10      554.796
      6785.65      549.150
      6798.20      543.357
      6810.74      537.738
      6823.29      538.527
      6835.84      552.858
      6848.38      547.703
      6860.93      531.149
      6873.48      514.212
      6886.03      507.933
      6898.57      513.045
      6911.12      516.996
      6923.67      516.600
      6936.21      508.117
      6948.76      505.194
      6961.31      504.833
      6973.86      502.942
      6986.40      499.442
      6998.95      494.868
      7011.50      492.974
      7024.05      488.892
      7036.59      480.049
      7049.14      478.381
      7061.69      479.612
      7074.23      479.073
      7086.78      477.142
      7099.33      474.474
      7111.88      473.836
      7124.42      472.216
      7136.97      468.352
      7149.52      465.770
      7162.07      462.337
      7174.61      454.791
      7187.16      448.964
      7199.71      445.806
      7212.25      448.933
      7224.80      448.833
      7237.35      442.214
      7249.90      438.092
      7262.44      435.716
      7274.99      435.344
      7287.54      436.890
      7300.09      439.429
      7312.63      440.663
      7325.18      439.579
      7337.73      436.081
      7350.27      437.627
      7362.82      438.324
      7375.37      432.582
      7387.92      428.551
      7400.46      426.532
      7413.01      427.347
      7425.56      428.467
      7438.11      429.148
      7450.65      426.382
      7463.20      423.476
      7475.75      422.363
      7488.29      415.630
      7500.84      407.316
      7513.39      406.679
      7525.94      407.689
      7538.48      409.667
      7551.03      414.448
      7563.58      421.053
      7576.12      428.928
      7588.67      411.651
      7601.22      390.121
